SPECIES,Triphoturus_nigrescens,Benthosema_fibulatum,Benthosema_glaciale,Benthosema_panamense,Benthosema_suborbitale,Bolinichthys_distofax,Bolinichthys_indicus,Bolinichthys_longipes,Bolinichthys_nikolayi,Bolinichthys_photothorax,Bolinichthys_pyrsobolus,Bolinichthys_supralateralis,Centrobranchus_andreae,Centrobranchus_choerocephalus,Centrobranchus_nigroocellatus,Ceratoscopelus_maderensis,Ceratoscopelus_townsendi,Ceratoscopelus_warmingii,Diaphus_aliciae,Diaphus_anderseni,Diaphus_arabicus,Diaphus_bertelseni,Diaphus_brachycephalus,Diaphus_danae,Diaphus_diadematus,Diaphus_diademophilus,Diaphus_dumerilii,Diaphus_effulgens,Diaphus_fragilis,Diaphus_fulgens,Diaphus_garmani,Diaphus_holti,Diaphus_hudsoni,Diaphus_jenseni,Diaphus_luetkeni,Diaphus_malayanus,Diaphus_meadi,Diaphus_metopoclampus,Diaphus_mollis,Diaphus_nielseni,Diaphus_ostenfeldi,Diaphus_pacificus,Diaphus_parri,Diaphus_perspicillatus,Diaphus_phillipsi,Diaphus_problematicus,Diaphus_rafinesquii,Diaphus_regani,Diaphus_richardsoni,Diaphus_schmidti,Diaphus_signatus,Diaphus_splendidus,Diaphus_subtilis,Diaphus_termophilus,Diaphus_theta,Diaphus_thiollierei,Diaphus_vanhoeffeni,Diogenichthys_atlanticus,Diogenichthys_laternatus,Diogenichthys_panurgus,Electrona_antarctica,Electrona_carlsbergi,Electrona_paucirastra,Electrona_risso,Electrona_subaspera,Gonichthys_barnesi,Gonichthys_cocco,Gonichthys_tenuiculus,Gymnoscopelus_bolini,Gymnoscopelus_braueri,Gymnoscopelus_fraseri,Gymnoscopelus_nicholsi,Gymnoscopelus_opisthopterus,Gymnoscopelus_piabilis,Hintonia_candens,Hygophum_atratum,Hygophum_benoiti,Hygophum_hanseni,Hygophum_hygomii,Hygophum_macrochir,Hygophum_proximum,Hygophum_reinhardtii,Hygophum_taaningi,Krefftichthys_anderssoni,Lampadena_anomala,Lampadena_chavesi,Lampadena_luminosa,Lampadena_notialis,Lampadena_pontifex,Lampadena_speculigera,Lampadena_urophaos,Lampanyctodes_hectoris,Lampanyctus_alatus,Lampanyctus_australis,Lampanyctus_crocodilus,Lampanyctus_festivus,Lampanyctus_hubbsi,Lampanyctus_intricarius,Lampanyctus_iselinoides,Lampanyctus_jordani,Lampanyctus_lepidolychnus,Lampanyctus_macdonaldi,Lampanyctus_macropterus,Lampanyctus_nobilis,Lampanyctus_omostigma,Lampanyctus_parvicauda,Lampanyctus_photonotus,Lampanyctus_pusillus,Lampanyctus_steinbecki,Lampanyctus_tenuiformis,Lampanyctus_turneri,Lampanyctus_vadulus,Lampichthys_procerus,Lepidophanes_gaussi,Lepidophanes_guentheri,Lobianchia_dofleini,Lobianchia_gemellarii,Loweina_interrupta,Loweina_rara,Metelectrona_ventralis,Myctophum_affine,Myctophum_asperum,Myctophum_aurolaternatum,Myctophum_brachygnathum,Myctophum_lychnobium,Myctophum_nitidulum,Myctophum_obtusirostre,Myctophum_phengodes,Myctophum_punctatum,Myctophum_selenops,Myctophum_spinosum,Nannobrachium_achirus,Nannobrachium_atrum,Nannobrachium_cuprarium,Nannobrachium_idostigma,Nannobrachium_isaacsi,Nannobrachium_lineatum,Nannobrachium_nigrum,Nannobrachium_regale,Nannobrachium_ritteri,Nannobrachium_wisneri,Notolychnus_valdiviae,Parvilux_ingens,Protomyctophum_andriashevi,Protomyctophum_arcticum,Protomyctophum_bolini,Protomyctophum_crockeri,Protomyctophum_normani,Protomyctophum_parallelum,Protomyctophum_subparallelum,Protomyctophum_tenisoni,Protomyctophum_thompsoni,Scopelopsis_multipunctatus,Stenobrachius_leucopsarus,Stenobrachius_nannochir,Symbolophorus_barnardi,Symbolophorus_boops,Symbolophorus_californiensis,Symbolophorus_evermanni,Symbolophorus_kreffti,Symbolophorus_rufinus,Symbolophorus_veranyi,Taaningichthys_bathyphilus,Taaningichthys_minimus,Taaningichthys_paurolychnus,Tarletonbeania_crenularis,Tarletonbeania_taylori,Triphoturus_mexicanus
Triphoturus_nigrescens,1,0.642521236,0.249949447,0.367138203,0.616914821,0.657104588,0.29899154,0.903922365,0.488924223,0.668518246,0.76369544,0.457140882,0.708811711,0.552812368,0.619759594,0.259399763,0.679202565,0.616289178,0.700235912,0.68331245,0.372330001,0.563285834,0.649292695,0.384379672,0.555747012,0.653170989,0.219244562,0.488423017,0.766740695,0.728365638,0.716288314,0.245922521,0.265511014,0.68180192,0.712410021,0.700951426,0.352478807,0.410224592,0.594989673,0.650782485,0.24727059,0.373691897,0.854627941,0.64386585,0.818430536,0.666783039,0.259441242,0.699983581,0.62011908,0.655791084,0.70767795,0.71288703,0.310840729,0.556251674,0.366937721,0.573150941,0.336257032,0.600627371,0.490776955,0.618508309,0.139189948,0.091841585,0.230824137,0.466698352,0.139656588,0.345855981,0.237806448,0.474790228,0.12805973,0.11891705,0.136158519,0.139241797,0.145529333,0.159082621,0.196296264,0.432205045,0.261477174,0.276852084,0.361382981,0.337715713,0.909193664,0.588885336,0.268777491,0.109010465,0.64044037,0.304760588,0.750491268,0.269105867,0.347836607,0.178709137,0.564779081,0.34322206,0.562024179,0.29539323,0.280094365,0.525197674,0.476736288,0.200928094,0.344577043,0.349454291,0.302078274,0.120652258,0.651657003,0.751365785,0.485439981,0.404607634,0.24013619,0.287608991,0.801686816,0.798458361,0.598843771,0.553711081,0.272272103,0.262731916,0.212753087,0.31020126,0.529490758,0.269914709,0.626226873,0.178802465,0.240433456,0.724349081,0.628719074,0.676668885,0.738009523,0.725797392,0.67686591,0.421980453,0.284916307,0.621650349,0.833719031,0.179338236,0.319540965,0.270357152,0.41911494,0.335821502,0.495367306,0.620959031,0.378389402,0.386346471,0.285016548,0.64295331,0.399453859,0.153790583,0.313581805,0.119902179,0.368399858,0.164322811,0.106763682,0.225836279,0.13148521,0.336194813,0.486933227,0.353298019,0.343270452,0.357788128,0.241425498,0.391279025,0.883113696,0.328452053,0.6413218,0.22025043,0.635850019,0.480859999,0.583092092,0.334532194,0.330830186,0.513085784
Benthosema_fibulatum,x,1,0.519335298,0.67419051,0.40193569,0.608760726,0.434590092,0.688300309,0.691183104,0.586082042,0.710381003,0.44062184,0.804431348,0.630996967,0.438371601,0.53013714,0.415647981,0.379585382,0.887074948,0.52714719,0.69288029,0.479062573,0.504689728,0.548809637,0.6550652,0.770321722,0.40268577,0.354483629,0.594464272,0.771794229,0.671300801,0.432657858,0.377815608,0.80371929,0.641982008,0.799066721,0.438872806,0.395534086,0.400850321,0.807943243,0.40237122,0.664321947,0.627910232,0.443079476,0.743066513,0.654062789,0.528989552,0.81001374,0.874410003,0.712123124,0.793214715,0.618463373,0.544969366,0.530994374,0.548114862,0.851368377,0.610364584,0.339094892,0.580181644,0.853421592,0.357349141,0.266326769,0.448371514,0.263775806,0.337491034,0.462108001,0.434849336,0.597471505,0.320816446,0.325071508,0.352727681,0.357038048,0.368344553,0.370020999,0.430079242,0.617941428,0.53120177,0.39879365,0.395865919,0.518426215,0.696250464,0.355271731,0.474804055,0.307097243,0.43722747,0.389523077,0.554913974,0.403224998,0.63502735,0.309534138,0.3776013,0.602891437,0.411869929,0.337625841,0.559621849,0.337155745,0.66177444,0.265303618,0.655739235,0.578104233,0.453525289,0.289437526,0.79088843,0.620540783,0.632141098,0.633140052,0.438378514,0.31051581,0.661083122,0.534368006,0.706938239,0.723529869,0.352326717,0.468962418,0.393743573,0.296129484,0.338652449,0.381569464,0.383660701,0.249078387,0.432440093,0.512059177,0.725825045,0.863926167,0.709036389,0.443076019,0.584920628,0.486452761,0.57287787,0.428613648,0.751438373,0.218653486,0.318109937,0.496615135,0.625895041,0.599932597,0.538011251,0.7133433,0.552853847,0.547105538,0.497054122,0.385416649,0.592483646,0.379405639,0.616023021,0.325541604,0.561021768,0.346215467,0.275065027,0.363564089,0.343640307,0.578771355,0.532684647,0.563040416,0.575366615,0.402703053,0.377352425,0.534668729,0.713744264,0.59425342,0.662714633,0.448150293,0.365555085,0.436135187,0.47589288,0.590368213,0.593202617,0.525322111
Benthosema_glaciale,x,x,1,0.79131359,0.234177029,0.418568799,0.579448847,0.292921769,0.641781526,0.363747289,0.384829028,0.324518454,0.466307757,0.607243283,0.289326916,0.876245452,0.218249065,0.174782451,0.46618332,0.314677543,0.788399685,0.370525661,0.313160101,0.531855065,0.466947227,0.519812307,0.695116703,0.281573785,0.305261793,0.461579143,0.328237744,0.720007604,0.447946354,0.495785553,0.352478807,0.473704859,0.434527873,0.394604264,0.244494949,0.523355311,0.489992309,0.784590524,0.237274133,0.253779349,0.338593687,0.375593021,0.873155261,0.47067343,0.527326933,0.52508015,0.47948082,0.341300196,0.769516337,0.452630033,0.677740427,0.585148763,0.750263133,0.197502614,0.655507643,0.529770742,0.460777214,0.351351959,0.551678606,0.231570761,0.430818952,0.512117939,0.750373744,0.666088264,0.407258838,0.42420304,0.455606156,0.460825606,0.473891515,0.463621987,0.539539064,0.717314921,0.868827611,0.474085084,0.438551343,0.635570035,0.287508749,0.325676411,0.737280183,0.402232957,0.273848308,0.585045065,0.264940676,0.454862989,0.776865046,0.589279387,0.383957968,0.681304171,0.245341813,0.356108226,0.914371635,0.254954589,0.685182465,0.510137313,0.793612223,0.705877066,0.487327279,0.553503686,0.497942465,0.30794065,0.670713181,0.745496496,0.741500678,0.454780031,0.357521971,0.242338037,0.423266304,0.513275896,0.379125656,0.74995204,0.682766309,0.393346065,0.219766507,0.592974482,0.336730585,0.290270565,0.710349893,0.247913516,0.528678459,0.495871968,0.439899413,0.229680006,0.355568998,0.449425774,0.931606191,0.296430207,0.358745604,0.165899016,0.421925148,0.763415456,0.725050769,0.737594732,0.498194796,0.546721857,0.667553858,0.662199601,0.61426016,0.193344337,0.72381331,0.484050432,0.875211932,0.424593635,0.68926124,0.429156333,0.363557176,0.453245306,0.444085343,0.712226821,0.382710139,0.693201752,0.703447084,0.404403695,0.447749328,0.65626118,0.311165648,0.745631303,0.417438494,0.784030556,0.201156229,0.496698093,0.458160576,0.722907683,0.725918373,0.608356305
Benthosema_panamense,x,x,x,1,0.168135429,0.540531105,0.500223814,0.428261076,0.793937142,0.36280364,0.529760372,0.233793348,0.596327374,0.755956136,0.223437405,0.795292125,0.218349306,0.121647756,0.608501482,0.411455138,0.957440741,0.323322474,0.27762636,0.669081671,0.598460089,0.66807926,0.634958218,0.187640964,0.335582997,0.605456227,0.391766404,0.653755152,0.577098366,0.639137235,0.380363115,0.624038852,0.561139292,0.314076097,0.179801419,0.669658921,0.625210636,0.986420788,0.343360324,0.197277936,0.478633956,0.401220176,0.794362302,0.622974222,0.664515516,0.662161578,0.624125267,0.354321169,0.811233916,0.432239611,0.831009065,0.727052134,0.902069633,0.134896864,0.84735182,0.677692035,0.592207119,0.466909204,0.693678762,0.158228844,0.557699985,0.650018579,0.671539306,0.85932199,0.530704021,0.549998704,0.585224808,0.591260013,0.606603814,0.594792648,0.681076036,0.91537059,0.796387864,0.60723637,0.368410228,0.632963766,0.417974266,0.289088411,0.723892811,0.524869298,0.202970939,0.537129821,0.270782313,0.584602622,0.932352814,0.484489419,0.326678822,0.838496038,0.189020143,0.471364748,0.834047407,0.179117014,0.856698438,0.421596772,0.962470079,0.865619896,0.621449866,0.491824302,0.653416407,0.347155659,0.858426733,0.946345089,0.681290345,0.37445926,0.4950493,0.276347422,0.550251035,0.614180659,0.498142947,0.715946112,0.623160878,0.30124178,0.121181117,0.553887367,0.299596443,0.395634327,0.671708679,0.255818736,0.699938646,0.634840694,0.601090554,0.202936373,0.370356288,0.578750616,0.856968052,0.237249937,0.489093596,0.247346635,0.329350766,0.753705896,0.925415439,0.885350109,0.44228446,0.703931006,0.823200629,0.840334944,0.76279327,0.132190354,0.889186924,0.617613052,0.914233372,0.550589781,0.84929788,0.552784715,0.481202202,0.583302944,0.572266054,0.868678978,0.502353073,0.849816369,0.861900606,0.528284408,0.576507289,0.809948065,0.449104311,0.879982026,0.4290077,0.69079251,0.12403626,0.437908418,0.452785579,0.884572377,0.886591025,0.793363348
Benthosema_suborbitale,x,x,x,x,1,0.508122121,0.539494128,0.54719541,0.321625288,0.708517901,0.459194096,0.782768901,0.457967007,0.327767648,0.877116513,0.321061864,0.733702612,0.879764261,0.442350135,0.620720526,0.178757529,0.764099861,0.81614573,0.35053966,0.495688769,0.379851539,0.385281842,0.812903449,0.692254647,0.438188401,0.634470839,0.40911157,0.32513027,0.422630292,0.664301207,0.419322336,0.424897815,0.703730524,0.913873886,0.398645017,0.296910673,0.16512474,0.64563908,0.902895758,0.525277175,0.638632573,0.323550609,0.405858919,0.407770413,0.403560287,0.424839053,0.698345158,0.331953578,0.653658368,0.197032518,0.342496176,0.238120998,0.862657599,0.236382333,0.39161777,0.038216054,0.067462258,0.208995774,0.721455916,0.140883677,0.405824353,0.415433672,0.224896086,0.099936917,0.034389609,0.062661055,0.042972321,0.041320072,0.135667683,0.187720466,0.200530586,0.326063549,0.327211137,0.650751376,0.437016618,0.561796044,0.751096171,0.402945014,0.038724173,0.829114854,0.54017162,0.774390128,0.326267488,0.209057993,0.381745751,0.642158295,0.24564945,0.88276458,0.373017862,0.282182145,0.857085577,0.244667779,0.401220176,0.181246273,0.182048202,0.354881137,0.204357031,0.382706682,0.683419604,0.233354361,0.176434701,0.404628373,0.59635157,0.493047934,0.714947157,0.514254111,0.465132517,0.324138229,0.406906266,0.378714322,0.627212001,0.881672298,0.469294251,0.716557928,0.24895395,0.387383448,0.77803683,0.327902455,0.435319432,0.408243966,0.79658489,0.689116064,0.48530863,0.25205451,0.820259071,0.543355139,0.244297923,0.633879763,0.377072441,0.187537266,0.253236664,0.589790963,0.369464488,0.206572705,0.196106152,0.294767588,0.848827784,0.218103888,0.071509925,0.192186379,0.036034946,0.197246826,0.172936632,0.081554774,0.257453703,0.055568134,0.173095635,0.555432463,0.185926496,0.178843944,0.4334667,0.308777145,0.215217636,0.529584086,0.25777171,0.63038515,0.3729591,0.824773377,0.643751782,0.545581182,0.171149575,0.16793149,0.263585693
Bolinichthys_distofax,x,x,x,x,x,1,0.368669472,0.640201865,0.614692234,0.673170816,0.652230796,0.430528599,0.743975596,0.710730118,0.592570061,0.449360099,0.592428341,0.481292073,0.679261327,0.741915469,0.536293326,0.6036588,0.636596642,0.441800537,0.576220392,0.656192048,0.467572869,0.483455898,0.671643003,0.723436541,0.654754107,0.4760346,0.328763146,0.711535503,0.647598966,0.671560045,0.405786331,0.417977722,0.546486809,0.686471773,0.336381469,0.533711254,0.670505785,0.57182361,0.68705248,0.656444379,0.449422317,0.654792129,0.631985551,0.819180615,0.683440344,0.66147026,0.533797669,0.5950035,0.513607729,0.561996526,0.584592252,0.475554135,0.546618159,0.571322405,0.27341969,0.19334088,0.345852525,0.366419232,0.256019219,0.403093648,0.49009255,0.531540516,0.236050501,0.245096396,0.268597748,0.27196101,0.283989941,0.282676437,0.340774795,0.510106204,0.452515965,0.332019253,0.382513113,0.504675902,0.628508222,0.614222138,0.535017845,0.22904745,0.520500169,0.362589331,0.626164655,0.355385799,0.57363832,0.283046292,0.533842604,0.471903976,0.498391822,0.319762187,0.451617252,0.484053888,0.612531865,0.252704349,0.539639305,0.515190847,0.378088679,0.222352036,0.628162563,0.684905938,0.576272241,0.508377909,0.494990538,0.338839104,0.713699329,0.645286508,0.653927982,0.63293957,0.302565654,0.509798567,0.45902818,0.340854296,0.452585097,0.320916688,0.595864191,0.221678001,0.497475825,0.600699959,0.602469733,0.700069996,0.679651921,0.546352002,0.714566933,0.463362743,0.463784447,0.619738855,0.72272794,0.207716836,0.398741801,0.514862471,0.500451949,0.588183649,0.492512163,0.780090044,0.520503625,0.499442625,0.437203273,0.471468446,0.541056507,0.29269709,0.504032976,0.245787714,0.506473328,0.255670103,0.201754219,0.299209305,0.260391804,0.492619317,0.516573483,0.50038973,0.499694956,0.39895611,0.331480025,0.532764148,0.66492685,0.57139845,0.650384978,0.452522878,0.451596512,0.555467028,0.527378782,0.488170686,0.499217947,0.538837376
Bolinichthys_indicus,x,x,x,x,x,x,1,0.244812955,0.382347197,0.533078698,0.299223131,0.666364791,0.34592857,0.360256133,0.574609621,0.687429248,0.365890374,0.489266425,0.382793097,0.376045834,0.507614003,0.602023833,0.557824423,0.412488658,0.552587689,0.382004995,0.761203239,0.614996414,0.44257827,0.341680421,0.49412639,0.783947598,0.511343663,0.382433612,0.48142688,0.360995843,0.561602475,0.660291563,0.563316943,0.413079735,0.506597765,0.494205892,0.370224938,0.547392435,0.298666621,0.515519223,0.689631095,0.355980332,0.45825736,0.313146274,0.365078076,0.49651835,0.671611894,0.483345287,0.407725478,0.46471427,0.57974957,0.493393593,0.392962384,0.491966022,0.251518739,0.274197423,0.4793391,0.493645924,0.374414324,0.562027635,0.807887937,0.400853778,0.317308008,0.242196317,0.29942707,0.263520018,0.258058606,0.377566734,0.466134928,0.441447965,0.689693314,0.520842371,0.70452554,0.705472645,0.285282706,0.40268577,0.757311119,0.247284417,0.539680784,0.734189991,0.486680896,0.53628987,0.551733912,0.675358837,0.312181886,0.497275343,0.593268292,0.498671805,0.649213194,0.560358103,0.420103525,0.585366528,0.50130227,0.431897408,0.618484113,0.461534207,0.384638916,0.455274324,0.407576844,0.464060974,0.795008685,0.730463788,0.259126693,0.399733843,0.578864683,0.527064232,0.447009618,0.77039431,0.751663052,0.686492512,0.545747099,0.657194459,0.398002091,0.395112382,0.761237805,0.487403324,0.337473752,0.399384727,0.293243232,0.447147882,0.5014751,0.560568955,0.619127038,0.502467141,0.342150517,0.289171369,0.644788759,0.734532194,0.447790807,0.591958244,0.677346376,0.322240561,0.401666076,0.398188747,0.496559829,0.495529766,0.446708895,0.328638709,0.557679246,0.238359503,0.418803847,0.404901444,0.259596789,0.43718599,0.283844765,0.43408543,0.566974015,0.421309875,0.428959307,0.547682789,0.531025484,0.390701774,0.26102436,0.591788872,0.522563752,0.764366018,0.472785406,0.691082863,0.401151044,0.444323848,0.447735502,0.355835155
Bolinichthys_longipes,x,x,x,x,x,x,x,1,0.545287372,0.6462267,0.817390102,0.400815755,0.752409675,0.602829219,0.549041228,0.295372491,0.657353462,0.553928846,0.751870447,0.638065692,0.430625383,0.505674856,0.58855696,0.401406832,0.524938429,0.698877473,0.19975631,0.421686643,0.749668599,0.776173728,0.684622497,0.236202591,0.271000078,0.728002696,0.699617183,0.756115139,0.332427131,0.35488805,0.523891083,0.685147899,0.263043009,0.434209867,0.809464142,0.573144027,0.862712904,0.658684249,0.294909308,0.761310393,0.67075466,0.700826989,0.746699389,0.690515982,0.303989768,0.540296057,0.410376682,0.633060551,0.359585555,0.541910284,0.562297249,0.638394068,0.175677708,0.115515766,0.256171309,0.418814217,0.165335592,0.350328808,0.223105573,0.549666871,0.153569361,0.152936805,0.172331729,0.176172,0.182950372,0.189189516,0.231757417,0.497659025,0.297038567,0.284750391,0.312544828,0.325064595,0.931613104,0.567247086,0.251532565,0.140697021,0.593990719,0.276890106,0.699634466,0.262617848,0.37937453,0.153928846,0.580959376,0.380663838,0.502277028,0.284318317,0.320014518,0.462979062,0.535854339,0.190876332,0.406332472,0.395665437,0.284228446,0.138408759,0.707318464,0.733809767,0.550244122,0.469947546,0.226175024,0.239344631,0.835779158,0.763325585,0.556376112,0.563144114,0.27570104,0.24820387,0.193707279,0.262776851,0.461188548,0.267073392,0.611930419,0.173980522,0.220896812,0.674847262,0.704767501,0.717646754,0.797082638,0.690809793,0.655880955,0.396833764,0.333892725,0.565895559,0.840967499,0.159393714,0.279527484,0.268867362,0.488336603,0.349316027,0.485823662,0.679161086,0.422236241,0.433881491,0.33514401,0.588733246,0.447396756,0.190039837,0.367514971,0.153859714,0.414877161,0.178885423,0.139221058,0.249468981,0.165605206,0.383017776,0.439695474,0.399733843,0.389993173,0.340550116,0.240796398,0.433117585,0.952667191,0.353170125,0.625977999,0.234301466,0.577157128,0.414528046,0.603275119,0.381780316,0.378717778,0.575722643
Bolinichthys_nikolayi,x,x,x,x,x,x,x,x,1,0.466418368,0.50699873,0.395997269,0.665728779,0.649759335,0.379180961,0.645172441,0.350200914,0.270682072,0.651995748,0.582663475,0.7908988,0.473666837,0.441568946,0.773297846,0.760311439,0.616306461,0.50038973,0.335679782,0.429266944,0.59142593,0.424106256,0.517268257,0.554599424,0.643191815,0.458862264,0.63475428,0.634788846,0.472405181,0.337204138,0.630516501,0.587250369,0.787511342,0.482892474,0.350812731,0.572051745,0.434175301,0.644239161,0.606710969,0.675127246,0.698269113,0.601612499,0.464271826,0.659330631,0.611591673,0.676447663,0.711856966,0.740926884,0.265172268,0.659769618,0.685137529,0.462612663,0.366222207,0.587046431,0.251892051,0.45991998,0.670785769,0.533880627,0.670274194,0.430424901,0.427587041,0.459076572,0.464126649,0.475391675,0.486774224,0.568149256,0.724127859,0.646188678,0.582756803,0.518457324,0.499442625,0.535657314,0.405765591,0.580548042,0.405831267,0.31229941,0.557229889,0.400511575,0.569995074,0.769015131,0.413370088,0.46112633,0.745610563,0.337366597,0.486252279,0.679990667,0.336395296,0.739855342,0.418444362,0.803536091,0.708099653,0.56389765,0.40689244,0.578892336,0.439633256,0.695044115,0.747860803,0.541972503,0.457935898,0.54806647,0.369440292,0.529608282,0.630972771,0.509103793,0.573392902,0.490517711,0.413701921,0.276112374,0.559106817,0.405955704,0.368517382,0.533379421,0.380414964,0.622853242,0.646333855,0.523624925,0.308597402,0.441316615,0.672310125,0.70078551,0.398679583,0.578121516,0.334297146,0.478772219,0.607575116,0.727878259,0.726149964,0.364777352,0.700322327,0.669306349,0.663571867,0.702251104,0.24834559,0.725918373,0.487524304,0.752402762,0.427583585,0.691943554,0.467092403,0.38907372,0.554820646,0.446892094,0.710813076,0.667370659,0.693495563,0.704542823,0.582065485,0.526455872,0.654577821,0.544696295,0.721414436,0.504081368,0.551782304,0.238532332,0.363156212,0.380522118,0.724394017,0.727114353,0.617547377
Bolinichthys_photothorax,x,x,x,x,x,x,x,x,x,1,0.62844946,0.651117775,0.625704928,0.451793538,0.753622938,0.464002212,0.713630197,0.685929088,0.660505872,0.59677673,0.365147208,0.768237399,0.817106662,0.33516475,0.538861572,0.613326881,0.48756924,0.600765635,0.883328004,0.661535936,0.816062772,0.497313366,0.239157975,0.672500238,0.901336836,0.662113186,0.336744411,0.527693331,0.723291365,0.635960629,0.224025026,0.356706216,0.71350576,0.76172864,0.658981516,0.883511204,0.465609526,0.639355,0.614370771,0.571768305,0.660167126,0.926234651,0.525861339,0.739367963,0.283665022,0.53104968,0.44066332,0.660215518,0.429394838,0.572739606,0.148889139,0.093887886,0.217561203,0.476107189,0.139521781,0.325341122,0.518274125,0.413871294,0.12700547,0.127859248,0.144558032,0.148847659,0.155432463,0.161782218,0.202189749,0.3729591,0.46949819,0.247999931,0.506262476,0.56257032,0.651090122,0.662234167,0.550634716,0.116462872,0.720291045,0.438520234,0.858475126,0.250941489,0.407276121,0.29437008,0.563268551,0.328469336,0.722102298,0.278276199,0.423967992,0.626427355,0.461627535,0.266665514,0.35934705,0.300709465,0.306672082,0.159065338,0.606607271,0.882080176,0.44465568,0.361393351,0.509833133,0.450431642,0.620758549,0.8017836,0.619016427,0.688804971,0.230599459,0.526839554,0.481457989,0.477095773,0.633803718,0.335672868,0.672787135,0.16478945,0.509494387,0.825278039,0.534679099,0.630150102,0.56646244,0.742627527,0.894257741,0.410442357,0.393660615,0.749091349,0.750660641,0.167551266,0.508415931,0.515059497,0.364034186,0.454420546,0.711241693,0.593935414,0.296364532,0.285524667,0.287989215,0.70287329,0.320208087,0.163555448,0.344421497,0.128474521,0.300536636,0.153890824,0.102816256,0.190001815,0.139507954,0.30106895,0.485405415,0.291338651,0.299247328,0.339243525,0.232154924,0.293671849,0.66298079,0.45167947,0.864738466,0.466210973,0.660136017,0.599974076,0.556860034,0.310571115,0.310187434,0.354366105
Bolinichthys_pyrsobolus,x,x,x,x,x,x,x,x,x,x,1,0.34875606,0.776512474,0.65371713,0.45589651,0.403950882,0.592189836,0.463158804,0.777978068,0.518740764,0.529698153,0.457890962,0.507690048,0.367304119,0.439239205,0.811005781,0.310664443,0.332496263,0.705400057,0.837849656,0.708943061,0.340847383,0.271259322,0.807193163,0.705804478,0.8206151,0.277425878,0.28343343,0.431133502,0.790625729,0.278846536,0.535118086,0.694387363,0.485882424,0.797680628,0.697968389,0.405413019,0.855101494,0.71677915,0.715310099,0.853290241,0.655096309,0.430065416,0.500130486,0.48054545,0.692265017,0.491343836,0.462426007,0.661090036,0.684784957,0.243489081,0.166891057,0.317090243,0.355880091,0.223886762,0.302945878,0.333388063,0.648314481,0.208688138,0.217557747,0.240111994,0.242469388,0.253309252,0.253627259,0.303523129,0.599351889,0.406888983,0.283689218,0.246911105,0.446048686,0.786816567,0.520707564,0.371223892,0.201239187,0.526023799,0.229521003,0.631332256,0.252396713,0.505636833,0.19739546,0.522871389,0.433159064,0.435229561,0.254211422,0.421548379,0.379201701,0.636693426,0.187751575,0.502463684,0.466518609,0.29019452,0.189604307,0.815049991,0.701501024,0.651300974,0.566275784,0.337159202,0.189642329,0.827974179,0.695693954,0.60379015,0.661394215,0.262541803,0.358133787,0.30241702,0.214865063,0.376318905,0.235618427,0.570102229,0.177737835,0.335223512,0.599296584,0.804887618,0.765841982,0.858606476,0.60813854,0.666188505,0.323806396,0.427504083,0.485733791,0.78506062,0.120766326,0.242936027,0.374072122,0.588816204,0.485847858,0.565142023,0.738811452,0.502404922,0.513047761,0.369454118,0.507835224,0.522352901,0.259942448,0.464779945,0.21708765,0.500942785,0.221757503,0.187796511,0.260713267,0.23113523,0.472809602,0.365544715,0.479498103,0.477040468,0.292959791,0.257567771,0.499688043,0.825157059,0.479598344,0.6601533,0.338794169,0.504786512,0.411728208,0.637809905,0.48488347,0.46977126,0.624678321
Bolinichthys_supralateralis,x,x,x,x,x,x,x,x,x,x,x,1,0.405620415,0.238846882,0.766585149,0.416698784,0.569639046,0.762990296,0.448672238,0.52374245,0.245265769,0.725399884,0.734715393,0.459135334,0.57361758,0.363422369,0.502909584,0.80538191,0.585058892,0.364393671,0.577533896,0.510189162,0.454824967,0.395233363,0.600119252,0.396529584,0.559729003,0.801437941,0.792091323,0.392118976,0.431575946,0.22922028,0.542995653,0.762323174,0.422212044,0.59156765,0.418879892,0.382350654,0.44409917,0.332489349,0.385897115,0.637464246,0.404296541,0.678476681,0.173703995,0.40315241,0.309143544,0.739824232,0.211211448,0.460123919,0.088789416,0.159480129,0.340055824,0.676043242,0.261366563,0.493905168,0.527116081,0.216769644,0.204063221,0.103580163,0.156701031,0.111015287,0.090894479,0.253827741,0.323809853,0.213143682,0.418478928,0.457946267,0.787483689,0.511260705,0.442135827,0.586545225,0.483559596,0.117645026,0.739381789,0.631719394,0.662254906,0.467769895,0.279721053,0.55089396,0.504354439,0.337342401,0.824209953,0.493175828,0.378185463,0.787037789,0.272337778,0.549577,0.248915927,0.190319821,0.49501819,0.355206056,0.351517875,0.589749484,0.241874854,0.212279534,0.515567615,0.747508231,0.336253575,0.556203282,0.527914553,0.51790427,0.442073608,0.490628322,0.494520441,0.77387164,0.81135144,0.587122476,0.557610114,0.356668193,0.499027834,0.680429654,0.311258976,0.405492521,0.292918312,0.641539565,0.605611773,0.559946769,0.350055738,0.703091055,0.459187183,0.340909602,0.789018415,0.459335816,0.209407108,0.323740721,0.598097147,0.315690324,0.178104233,0.166880687,0.387494059,0.728372551,0.197347068,0.167966056,0.29016341,0.10490058,0.179860181,0.295317185,0.171782131,0.379409096,0.146179172,0.189787506,0.641643263,0.181706,0.188792008,0.558985837,0.441513641,0.168709223,0.402796381,0.324366364,0.611536368,0.489100509,0.708825537,0.564246766,0.386004269,0.196403419,0.197398916,0.177164041
